Company name,Size,Size Source,Annual Revenue,Revenue Source,Nationality,Suppliers published?,CoC published?,Audits published?,Full cost breakdown published?,Purchasing practices documents published?,Business Orientation,Score,Rank
Gap,141000,"GAP Official Annual Report, figures for end of 2015",15797000000,"Nasdaq, GAP Official Report",USA,Yes,Yes,No,No,Yes,Trend-oriented,3,Medium
Good Society ,0,N/A,0,N/A,Germany,No,No,No,No,No,Sustainability-oriented,0,Low
Gucci,10000,"LinkedIn (2016); Business off Fashion, approximation, lower limit taken from BOF, upper from LinkedIn",4300000000,"Forbes, 2016 profile",Italy,No,Yes,No,No,Yes,Neutral,2,Medium
Guess,13500,"Guess Annual Report, ""as of Feb 2016""",2200000000,"Gucci Official Annual Report, 2016",USA,No,No,No,No,Yes,Trend-oriented,1,Low
H&M,104637,"Forbes, 2016",21730000000,"Forbes, 2016 profile",Sweden,Yes,Yes,No,No,Yes,Trend-oriented,3,Medium
Henrica Langh,0,N/A,0,N/A,Europe,No,No,No,No,No,Sustainability-oriented,0,Low
Hermes,12244,"Forbes, 2016",5370000000,"Forbes, 2016",France,No,No,No,No,Yes,Neutral,1,Low
Honest By,0,N/A,0,N/A,Belgium,Yes,No,No,Yes,No,Sustainability-oriented,2,Medium
Hugo Boss,13764,"Hugo Boss Official Report, for end of 2015",3089900000,"Hugo Boss, Annual Report (for 2015)",Germany,No,Yes,No,No,Yes,Neutral,2,Medium
J Crew,15300,"Forbes, 2016",2510000000,"Forbes, 2016",USA,No,Yes,No,No,Yes,Neutral,2,Medium
Kowtow,0,N/A,0,N/A,New Zealand,No,No,No,No,No,Sustainability-oriented,0,Low
Krochet Kids,150,"Approximation, LinkedIn Profile, and official website",1567769,"Official Website, 2013 Financial Income Statement",USA,Yes,No,No,No,No,Sustainability-oriented,1,Low
L.L.Bean,5000,L.L.Bean 2015 Company Fact Sheet,1610000000,L.L.Bean Company Fact Sheet 2015,USA,No,Yes,No,No,Yes,Neutral,2,Medium
Lanvin,330,"WWD article, October 29, 2015; LinkedIn says between 200 and 500. ",184100000,"WWD article, No",France,No,No,No,No,No,Neutral,0,Low
Levi's,12500,"Forbes, 2016",4490000000,"Forbes, 2016",USA,Yes,Yes,Yes,No,Yes,Neutral,4,High
Mango,14400,"LinkedIn Profile, stated in description, says ""more than 14,000""",2211000000,"Reuters article, Jul 10, 2014; as well as Fibre2Fashion article, Apr 22, 2015 (approximation)",Spain,No,Yes,No,No,Yes,Trend-oriented,2,Medium
Marni (thru OTB),10000,"LinkedIn profile, upper limit taken",1590000000,"Moda24 article, April 18, 2014.",Italy,No,No,No,No,No,Neutral,0,Low
MaxMara,5000,"LinkedIn Profile, says ""more than 5,000""",1430000000,"Fashion Network article, May 1, 2016; cpp-luxury.com, July 18, 2014",Italy,No,No,No,No,No,Neutral,0,Low
Mayamiko,10,"LinkedIn Profile, upper limit taken",0,N/A,UK,Yes,Yes,No,No,No,Sustainability-oriented,2,Medium
Ministry of Supply,50,"LinkedIN profile, upper limit taken",0,N/A,USA,No,No,No,No,Yes,Neutral,1,Low
New Look,18530,"Annual Report, 2016, cited as average number of montly employees",1878156000,"Official Website, March 2016 Report",UK,No,Yes,No,No,Yes,Trend-oriented,2,Medium
NewYorker,16000,"Fashion United article; March 20, 2015",0,"Same article states that in mid 2000s, the group has achieveed 1B in sales. ",Germany,No,No,No,No,Yes,Trend-oriented,1,Low
NorthFace (thru VFC),64000,"VFC Annual Report, 2015",12400000000,VFC Annual Report 2015,USA,Yes,Yes,No,No,Yes,Neutral,3,Medium
Nudie Jeans,50,"LinkedIN Profile, but mostly the academic paper we used for building analysis",44000000,"Academic paper, though the figures are 2011",Sweden,Yes,Yes,Yes,No,Yes,Sustainability-oriented,4,High
Organic by John Patrick,0,N/A,0,N/A,USA,No,No,No,No,No,Sustainability-oriented,0,Low
Patagonia,2000,"Forbes article, June 9, 2016",570000000,"Groundswell article, July 31, 2014",USA,Yes,Yes,Yes,No,Yes,Sustainability-oriented,4,High
PeopleTree,50,"LinkedInProfile 2016, maximum limit taken",3125000,"People Tree Fashion Creative Director Job Description, https://images.template.net/wp-content/uploads/2015/11/26183702/Fashion-Creative-Director-Job-Description-PDF-Free-Download.pdf",UK/Japan,Yes,Yes,No,No,Yes,Sustainability-oriented,3,Medium
Primark,58000,"Business & Finance article, 6 Oct, 2014",6250000000,"Guardian article, 4 No",Ireland,No,Yes,No,No,Yes,Trend-oriented,2,Medium
Ralph Lauren,26000,Forbes Profile 2016,7400000000,"Ralph Lauren, Official Website, Fiscal Results 2016",USA,No,Yes,No,No,Yes,Neutral,2,Medium
Reformation,200,"Crunchbase + LinkedIn approximation, lower limit taken from LinkedIN",25000000,Project JUST Profile,USA,No,No,No,No,No,Sustainability-oriented,0,Low
River Island,10000,"Interview with Sabrina Mir, 23 Feb, 2016; Changeboard Article, lower limit taken, says ""more than 10,000""",1166508000,"Drapers Online article, 18 September 2015",UK,No,No,No,No,Yes,Trend-oriented,1,Low
rue21,10000,"Forbes Profile 2012 cites 2,340, but LinkedIn says more than 10,000 employees, so lower limit taken",1100000000,"Moody's report, 16 Jul 2015",USA,No,No,No,No,Yes,Trend-oriented,1,Low
Scotch & Soda,,LinkedIn No,0,N/A,Netherlands,No,Yes,No,No,Yes,Trend-oriented,2,Medium
Shift to Nature,0,N/A,0,N/A,Australia,Yes,No,No,No,Yes,Sustainability-oriented,2,Medium
Sveekery ,0,N/A,0,N/A,Germany,No,No,No,No,No,Sustainability-oriented,0,Low
Topshop (thru Arcadia Group),45000,"Official website, History/About Us",2587500000,"Financial Report Official, 2014-2015 year",UK,No,Yes,No,No,Yes,Trend-oriented,2,Medium
Uniqlo (thru Fast Retailing),41646,"Forbes, 2016 profile",14440000000,"Forbes, 2016 Profile",Japan,No,Yes,No,No,Yes,Trend-oriented,2,Medium
United Colors of Benetton,9500,"Financial Report from 2011, which broke down employees in apparel  + textile, with LinkedIn approximation (10,000 upper limit)",2310000000,UCB Official Website,Italy,No,Yes,No,No,Yes,Trend-oriented,2,Medium
Urban Outfitters,24000,"US Security and Exchange Commision List, report says ""as of 2015, we employ 24,000 people""",3400000000,"URBN Official Website, Report for Investors, Q4 Sales article, extracted from annual sales",USA,No,No,No,No,Yes,Trend-oriented,1,Low
Zady,50,"Approximation from LinkedIn, upper limit taken, 11-50 ",0,N/A,USA,Yes,No,No,No,No,Sustainability-oriented,1,Low
Zara (thru Inditex),152854,"Forbes, 2016 profile",23050000000,"Forbes, 2016 profile",Spain,No,Yes,No,No,Yes,Trend-oriented,2,Medium
